hgnc_symbol	description	Protein.families	all_sc_proteomics	ND_islet_proteomics	stemcell_NDislet_proteomics_FC	stemcell_NDislet_proteomics_adj_p_value
RSPO4	R-spondin 4	R-spondin family	NA	NA	NA	NA
S100A8	S100 calcium binding protein A8	S-100 family	10133.17	13503.64	0.750403	0.225
SAA1	serum amyloid A1	SAA family	NA	NA	NA	NA
SCGB1A1	secretoglobin family 1A member 1	Secretoglobin family	NA	NA	NA	NA
SCGB3A1	secretoglobin family 3A member 1	Secretoglobin family, UGRP subfamily	NA	NA	NA	NA
SCGB3A2	secretoglobin family 3A member 2	Secretoglobin family, UGRP subfamily	NA	NA	NA	NA
SCT	secretin	Glucagon family	NA	NA	NA	NA
SEMA3A	semaphorin 3A	Semaphorin family	NA	NA	NA	NA
SEMA3B	semaphorin 3B	Semaphorin family	NA	NA	NA	NA
SEMA3C	semaphorin 3C	Semaphorin family	NA	NA	NA	NA
SEMA3D	semaphorin 3D	Semaphorin family	NA	NA	NA	NA
SEMA3E	semaphorin 3E	Semaphorin family	929.03	1355.64	0.6853098	0.119
SEMA3F	semaphorin 3F	Semaphorin family	NA	NA	NA	NA
SEMA3G	semaphorin 3G	Semaphorin family	NA	NA	NA	NA
SFRP2	secreted frizzled related protein 2	Secreted frizzled-related protein (sFRP) family	NA	NA	NA	NA
SHH	sonic hedgehog signaling molecule	Hedgehog family	NA	NA	NA	NA
SLIT1	slit guidance ligand 1	NA	13432.27	9429.55	1.4244872	2.67e-6
SLIT2	slit guidance ligand 2	NA	NA	NA	NA	NA
SLIT3	slit guidance ligand 3	NA	NA	NA	NA	NA
SLURP1	secreted LY6/PLAUR domain containing 1	NA	NA	NA	NA	NA
SPP1	secreted phosphoprotein 1	Osteopontin family	1139.91	1677.53	0.6795171	0.512
SST	somatostatin	Somatostatin family	115731.39	93562.77	1.2369386	0.153
TAC1	tachykinin precursor 1	Tachykinin family	NA	NA	NA	NA
TAC3	tachykinin precursor 3	Tachykinin family	NA	NA	NA	NA
TAC4	tachykinin precursor 4	Tachykinin family	NA	NA	NA	NA
TF	transferrin	Transferrin family	29721.83	23724.42	1.2527945	0.0456
TG	thyroglobulin	Type-B carboxylesterase/lipase family	NA	NA	NA	NA
TGFA	transforming growth factor alpha	NA	NA	NA	NA	NA
TGFB1	transforming growth factor beta 1	TGF-beta family	2552.11	5255.52	0.4856055	1.29e-5
TGFB2	transforming growth factor beta 2	TGF-beta family	NA	NA	NA	NA
TGFB3	transforming growth factor beta 3	TGF-beta family	NA	NA	NA	NA
THBS1	thrombospondin 1	Thrombospondin family	10949.99	23688.57	0.4622479	2.41e-5
THBS2	thrombospondin 2	Thrombospondin family	NA	NA	NA	NA
THPO	thrombopoietin	EPO/TPO family	NA	NA	NA	NA
TNF	tumor necrosis factor	Tumor necrosis factor family	NA	NA	NA	NA
TNFSF10	TNF superfamily member 10	Tumor necrosis factor family	2257.53	2694.75	0.837753	0.176
TNFSF11	TNF superfamily member 11	Tumor necrosis factor family	NA	NA	NA	NA
TNFSF12	TNF superfamily member 12	Tumor necrosis factor family	NA	NA	NA	NA
TNFSF13	TNF superfamily member 13	Tumor necrosis factor family	NA	NA	NA	NA
TNFSF13B	TNF superfamily member 13b	Tumor necrosis factor family	NA	NA	NA	NA
TNFSF14	TNF superfamily member 14	Tumor necrosis factor family	NA	NA	NA	NA
TNFSF15	TNF superfamily member 15	Tumor necrosis factor family	NA	NA	NA	NA
TNFSF18	TNF superfamily member 18	Tumor necrosis factor family	NA	NA	NA	NA
TNFSF4	TNF superfamily member 4	Tumor necrosis factor family	NA	NA	NA	NA
TNFSF8	TNF superfamily member 8	Tumor necrosis factor family	NA	NA	NA	NA
TNFSF9	TNF superfamily member 9	Tumor necrosis factor family	NA	NA	NA	NA
TRH	thyrotropin releasing hormone	TRH family	NA	NA	NA	NA
TSHB	thyroid stimulating hormone subunit beta	Glycoprotein hormones subunit beta family	NA	NA	NA	NA
TSLP	thymic stromal lymphopoietin	NA	NA	NA	NA	NA
UCN	urocortin	Sauvagine/corticotropin-releasing factor/urotensin I family	NA	NA	NA	NA
UCN2	urocortin 2	Sauvagine/corticotropin-releasing factor/urotensin I family	NA	NA	NA	NA
UCN3	urocortin 3	Sauvagine/corticotropin-releasing factor/urotensin I family	13769.99	20498.38	0.6717597	0.0298
UTS2	urotensin 2	Urotensin-2 family	792407.56	787614.46	1.0060856	0.5
UTS2B	urotensin 2B	Urotensin-2 family	NA	NA	NA	NA
VEGFA	vascular endothelial growth factor A	PDGF/VEGF growth factor family	NA	NA	NA	NA
VEGFB	vascular endothelial growth factor B	PDGF/VEGF growth factor family	NA	NA	NA	NA
VEGFC	vascular endothelial growth factor C	PDGF/VEGF growth factor family	NA	651.31	NA	NA
VEGFD	vascular endothelial growth factor D	PDGF/VEGF growth factor family	NA	NA	NA	NA
VIP	vasoactive intestinal peptide	Glucagon family	NA	NA	NA	NA
WNT1	Wnt family member 1	Wnt family	NA	NA	NA	NA
WNT10A	Wnt family member 10A	Wnt family	NA	NA	NA	NA
WNT10B	Wnt family member 10B	Wnt family	NA	NA	NA	NA
WNT11	Wnt family member 11	Wnt family	NA	NA	NA	NA
WNT16	Wnt family member 16	Wnt family	NA	NA	NA	NA
WNT2	Wnt family member 2	Wnt family	NA	NA	NA	NA
WNT2B	Wnt family member 2B	Wnt family	NA	NA	NA	NA
WNT3	Wnt family member 3	Wnt family	NA	NA	NA	NA
WNT3A	Wnt family member 3A	Wnt family	NA	NA	NA	NA
WNT4	Wnt family member 4	Wnt family	2253.56	6366.32	0.3539811	0.00175
WNT5A	Wnt family member 5A	Wnt family	NA	NA	NA	NA
WNT5B	Wnt family member 5B	Wnt family	NA	NA	NA	NA
WNT6	Wnt family member 6	Wnt family	NA	NA	NA	NA
WNT7A	Wnt family member 7A	Wnt family	NA	NA	NA	NA
WNT7B	Wnt family member 7B	Wnt family	NA	NA	NA	NA
WNT8A	Wnt family member 8A	Wnt family	NA	NA	NA	NA
WNT8B	Wnt family member 8B	Wnt family	NA	NA	NA	NA
WNT9A	Wnt family member 9A	Wnt family	NA	NA	NA	NA
WNT9B	Wnt family member 9B	Wnt family	NA	NA	NA	NA
XCL1	X-C motif chemokine ligand 1	Intercrine gamma family	NA	NA	NA	NA
XCL2	X-C motif chemokine ligand 2	Intercrine gamma family	NA	NA	NA	NA
ZP3	zona pellucida glycoprotein 3	ZP domain family, ZPC subfamily	NA	NA	NA	NA
