hgnc_symbol	description	Protein.families	all_sc_proteomics	ND_islet_proteomics	stemcell_NDislet_proteomics_FC	stemcell_NDislet_proteomics_adj_p_value
CCL7	C-C motif chemokine ligand 7	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL8	C-C motif chemokine ligand 8	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCN1	cellular communication network factor 1	CCN family	4174.47	4516.56	0.9242588	0.526
CCN2	cellular communication network factor 2	CCN family	NA	NA	NA	NA
CCN3	cellular communication network factor 3	CCN family	NA	NA	NA	NA
CCN6	cellular communication network factor 6	CCN family	NA	NA	NA	NA
CD5L	CD5 molecule like	NA	NA	NA	NA	NA
CD70	CD70 molecule	Tumor necrosis factor family	NA	NA	NA	NA
CGA	glycoprotein hormones, alpha polypeptide	Glycoprotein hormones subunit alpha family	NA	NA	NA	NA
CGB3	chorionic gonadotropin subunit beta 3	Glycoprotein hormones subunit beta family	NA	NA	NA	NA
CGB5	chorionic gonadotropin subunit beta 5	Glycoprotein hormones subunit beta family	NA	NA	NA	NA
CGB8	chorionic gonadotropin subunit beta 8	Glycoprotein hormones subunit beta family	NA	NA	NA	NA
CGN	cingulin	Cingulin family	11938.79	14869.21	0.8029201	0.0034
CLCF1	cardiotrophin like cytokine factor 1	IL-6 superfamily	NA	NA	NA	NA
CORT	cortistatin	Somatostatin family	NA	NA	NA	NA
CRH	corticotropin releasing hormone	Sauvagine/corticotropin-releasing factor/urotensin I family	556.4	2285.31	0.2434667	0.0449
CSF1	colony stimulating factor 1	NA	NA	NA	NA	NA
CSF2	colony stimulating factor 2	GM-CSF family	NA	NA	NA	NA
CSF3	colony stimulating factor 3	IL-6 superfamily	NA	NA	NA	NA
CSH1	chorionic somatomammotropin hormone 1	Somatotropin/prolactin family	NA	NA	NA	NA
CSH2	chorionic somatomammotropin hormone 2	Somatotropin/prolactin family	NA	NA	NA	NA
CSHL1	chorionic somatomammotropin hormone like 1	Somatotropin/prolactin family	NA	NA	NA	NA
CTF1	cardiotrophin 1	IL-6 superfamily	NA	NA	NA	NA
