Protein.Group	Protein.Ids	Genes	proteomics_stem_cell_all	proteomics_stem_cell_sorted	proteomics_stem_cell_unsorted	proteomics_pooled	proteomics_human_islets
Q2KHR3	Q2KHR3	QSER1	1144.7	2760.3	336.8	2949.6	1128
Q2KHT3	Q2KHT3	CLEC16A	17920.6	17008	18377	21668.8	19418.7
Q2LD37	Q2LD37	KIAA1109	23715	28314.1	21206.5	30008.9	27700.5
Q2M2H8	Q2M2H8	MGAM2	12088.3		12088.3		16225.3
Q2M2I8	Q2M2I8	AAK1	15874.3	17048	15287.5	22599.2	18870
Q2M389	Q2M389	WASHC4	19419.7	21177.8	18540.7	26285.9	24694.4
Q2M3D2	Q2M3D2	EXOC3L2	46952.7	42994.6	49327.7	30179.1	54554.7
Q2M3G4	Q2M3G4	SHROOM1	439.6	413.3	449.5	2116.3	1656.9
Q2M3V2	Q2M3V2	SOWAHA	569.4	755.7	383.1	1218.1	543.1
Q2NKQ1	Q2NKQ1	SGSM1	5385.6	6518.6	4819.1	19034	15935.2
Q2NL82	Q2NL82	TSR1	8559.2	7970.5	8853.5	8697.9	8826.1
Q2NL98	Q2NL98	VMAC				10448.8	5644.4
Q2PPJ7	Q2PPJ7	RALGAPA2	8608.1	8376.1	8724.1	7901.7	7588.9
Q2PZI1	Q2PZI1	DPY19L1	5417	6204.9	4944.2	5960.6	5813.3
Q2QD12	Q2QD12	RPEL1	20028.8	17571.9	22076.2	1345.7	21404.3
Q2T9J0	Q2T9J0	TYSND1	1086.9	962.2	1136.7	979.6	851.7
Q2TAA2	Q2TAA2	IAH1	16379.1	20621.3	14258	37565.4	28298.6
Q2TAA5	Q2TAA5	ALG11	8098.9	7728.1	8284.2	4286.6	12699.5
Q2TAC6	Q2TAC6	KIF19	761	1243	279	975.1	1071.2
Q2TAK8	Q2TAK8	PWWP3A	1299.8	1535.6	1192.6	823.8	932.6
Q2TAL8	Q2TAL8	QRICH1	17610	17472.2	17678.9	25237	12656.4
Q2TAM9	Q2TAM9	TUSC1	1068	1319.6	963.2	2607.4	1056.3
Q2TAP0	Q2TAP0	GOLGA7B	2596.5	2929.3	2330.2	11464.7	5491.6
Q2TAY7	Q2TAY7	SMU1	16651.4	15820.1	17067.1	13771.6	13422.9
Q2TAZ0	Q2TAZ0	ATG2A	2570	3109.9	2270.1	4573.1	3068.3
Q2TB10	Q2TB10	ZNF800	9479.4	9915.4	9261.5	31801.4	13598.8
Q2TB90	Q2TB90	HKDC1	7472.6	5263.4	8209	12806.8	10604
Q2TBE0	Q2TBE0	CWF19L2	1752.2	1513.2	1841.8	2007.4	1357.3
Q2UY09	Q2UY09	COL28A1				994.3	1886.5
Q2VPK5	Q2VPK5	CTU2	2675.1	2541	2742.1	4860.6	2616.5
Q2Y0W8	Q2Y0W8	SLC4A8	3040.3	3217.3	2934.1	2739.4	2450.7
Q2YD98	Q2YD98	UVSSA	1570	1607.6	1560.6	2644.3	2686.5
Q30154	Q30154	HLA-DRB5	1144		1144	6586.2	6208.4
Q30201	Q30201	HFE	1127.7	1247.4	1008	2031.3	1863.8
Q32M88	Q32M88	PGGHG	1458.3	841.7	1738.6	1627.5	1063
Q32MZ4	Q32MZ4	LRRFIP1	19806.4	24285.6	17566.8	33930.8	26598.5
Q32NB8	Q32NB8	PGS1	6611.5	6774.9	6529.7	20483.5	6653.5
Q32NC0	Q32NC0	C18orf21	186.5	190.3	185.4		219.1
Q32P28	Q32P28	P3H1	17050.8	14682.7	18234.8	12028.5	13036
Q32P41	Q32P41	TRMT5	9551.7	9759.6	9447.8	8794.2	8772
Q32P44	Q32P44	EML3	6815.5	7450.2	6498.2	17278.6	13294.4
Q330K2	Q330K2	NDUFAF6	2348.2	2103.3	2481.8	8749.5	3155.5
Q3B726	Q3B726	POLR1F	2867.6	2891.6	2855.7	3944.8	2954
Q3B7J2	Q3B7J2	GFOD2	7858	8937.3	7318.3	6297.8	7261.8
Q3B7T1	Q3B7T1	EDRF1	1639.7	1792	1570.4		1124.7
Q3B820	Q3B820	FAM161A	571.8	688.3	555.2	749.4	503.8
Q3KQU3	Q3KQU3	MAP7D1	13479.1	13629.5	13403.9	11632.7	12079.9
Q3KQV9	Q3KQV9	UAP1L1	7415.1	7973.4	7135.9	15668.1	12566.6
Q3KQZ1	Q3KQZ1	SLC25A35	7731.6	7173.7	8010.6	9038.3	6807.2
Q3KRA6	Q3KRA6	C2orf76	3190.8	3175.3	3199.3	4566.2	4053.3
Q3LXA3	Q3LXA3	TKFC	18939.5	20286.4	18266.1	53949.5	33444.4
Q3MHD2	Q3MHD2	LSM12.00	24679.8	28222.5	22908.5	12896.6	21144.8
Q3MIN7	Q3MIN7	RGL3	4173.8	4671.3	3925.1	7364	5149.7
Q3MIP1	Q3MIP1	ITPRIPL2					390.3
Q3MIR4	Q3MIR4	TMEM30B	2051.1	2315.5	1257.9	2001.3	2991.2
Q3MIX3	Q3MIX3	ADCK5	2247.5	2282.5	2230	5102.2	3038.6
Q3SXM5	Q3SXM5	HSDL1	54585.9	58050.1	52853.9	18256.1	39855.2
Q3SY17	Q3SY17	SLC25A52	3414.1	3937.6	3152.3	4117.2	7141.6
Q3SY69	Q3SY69	ALDH1L2	5913.2	7707.8	5015.9	76911.4	40153.5
Q3SYG4	Q3SYG4	BBS9	1938.8	2238.5	1738.9	4224	2638.7
Q3T8J9	Q3T8J9	GON4L	841.9	878.1	823.8		924.7
Q3V6T2	Q3V6T2	CCDC88A	6234.6	6389.5	6157.2	7349.4	3710.3
Q3YBM2	Q3YBM2	TMEM176B	6465.4	6159.7	6604.4		9682
Q3YEC7	Q3YEC7	RABL6	14647	15587.1	14177	32040.5	24267.1
Q3ZAQ7	Q3ZAQ7	VMA21	32512.2	27233	34911.8	29458.6	46802.5
Q3ZCQ3	Q3ZCQ3	FAM174B	3368.5	4439	2784.6	13663.6	4401.8
Q3ZCQ8	Q3ZCQ8	TIMM50	26106.9	25452	26434.3	44380.4	28902.5
Q3ZCW2	Q3ZCW2	LGALSL	9606.7	10864.6	8977.7	5685.1	8042.9
Q460N5	Q460N5	PARP14	2281.9	2511.8	2166.9	3082.2	2775.2
Q495W5	Q495W5	FUT11	7372.8	9489.6	6314.4	5460.7	5042.8
Q49A26	Q49A26	GLYR1	23349.1	22154.5	23946.4	32490.9	22123.7
Q49AH0	Q49AH0	CDNF	3523.9		3523.9	5603	4422.1
Q49AN0	Q49AN0	CRY2	2780.4	2837.7	2742.3	4974.8	3127.8
Q49AR2	Q49AR2	C5orf22	3935.6	3612.2	4097.2	4932	3166.7
Q49MG5	Q49MG5	MAP9	200.3	182.6	207.4	394.8	205.6
Q4FZB7	Q4FZB7	KMT5B	13074.9	10807.1	14370.8	11567.4	6785.4
Q4G0F5	Q4G0F5	VPS26B	30477.2	35244.8	28093.4	31196.3	43647.9
Q4G0I0	Q4G0I0	CCSMST1	1641.9	1160.9	1909.2	1213.4	1966.1
Q4G0J3	Q4G0J3	LARP7	15213.3	13679.2	15980.3	17915.4	13744.7
Q4G0N4	Q4G0N4	NADK2	13632.1	9552	15672.2	16559.7	13971.3
Q4G0X4	Q4G0X4	KCTD21	9056.5	10110.8	8529.3	4369.1	7040.5
Q4G148	Q4G148	GXYLT1	1105.7	1045.1	1133.3	1088.9	1942.3
Q4G176	Q4G176	ACSF3	17520.2	17284.8	17637.9	28044.1	16993.9
Q4J6C6	Q4J6C6	PREPL	11196.1	13061.6	10263.3	12284.1	11013.7
Q4KMP7	Q4KMP7	TBC1D10B	4259.2	4335.3	4221.1	6279.9	3667
Q4KMQ1	Q4KMQ1	TPRN	1504.9	1377.3	1559.5	9197.9	2539.3
Q4KMQ2	Q4KMQ2	ANO6	2439.7	2084.5	2617.3	5134.5	3092.9
Q4KWH8	Q4KWH8	PLCH1	10684.4	8650.2	11609	10241.2	19480.1
Q4L180	Q4L180	FILIP1L	1133		1133	1349.1	1743.3
Q4LDG9	Q4LDG9	DNAL1	2659.6	2089.8	2944.5	1425.6	2212.7
Q4LE39	Q4LE39	ARID4B	3225.3	3105	3285.5	3796.9	2912.6
Q4U2R6	Q4U2R6	MRPL51	10495.8	9683.2	10902.1	12319.6	11087.2
Q4V328	Q4V328	GRIPAP1	18797.2	20665.7	17862.9	32636.4	23052.3
Q4V9L6	Q4V9L6	TMEM119	1498.5		1498.5	22620.5	5359.9
Q4VC05	Q4VC05	BCL7A	6752.7	5593.2	7332.4	14990.1	6774.7
Q4VC31	Q4VC31	CCDC58	11045	10398.3	11368.3	17570.7	7852.1
Q4VCS5	Q4VCS5	AMOT	4367.2	5470.3	3765.5	4983.3	2714.8
Q4ZG55	Q4ZG55	GREB1	386		386	1199.6	69.8
Q4ZIN3	Q4ZIN3	TMEM259	1061.6	994.9	1106.1	4346.5	1428.7
Q504Q3	Q504Q3	PAN2	1275.6	1128	1342.7	661.5	1220.1
Q50LG9	Q50LG9	LRRC24	437.8	945.3	268.6	312.5	723.2
Q52LJ0	Q52LJ0	FAM98B	35852.9	35347.7	36105.5	33516	27488.3
Q52LR7	Q52LR7	EPC2	1500.5	1449.9	1530.9	1025.4	1282.1
Q53EL6	Q53EL6	PDCD4	39715.6	33345.1	42900.9	61539.6	34130.4
Q53EP0	Q53EP0	FNDC3B	6218.7	5709.8	6496.3	8191	10177
Q53ET0	Q53ET0	CRTC2	2519.1	2917	2280.3	8211.4	4584.7
Q53EU6	Q53EU6	GPAT3	755		755	879.4	715.9
Q53F19	Q53F19	NCBP3	14260.3	14060.2	14360.3	16963.8	10835.3
Q53F39	Q53F39	MPPE1				758	1083
Q53FA7	Q53FA7	TP53I3	85351.7	84842.7	85606.2	27896.4	28781.1
Q53FT3	Q53FT3	HIKESHI	14397.8	13970.7	14611.4	14075.6	10769.3
Q53FZ2	Q53FZ2	ACSM3	3919.6	3221.4	4268.7	12056.9	9647.8
Q53GG5	Q53GG5	PDLIM3	3505.8	1874.7	4321.3	9721.8	4427
Q53GL7	Q53GL7	PARP10	2669.2	2353.2	2739.5	8350.2	4780.8
Q53GQ0	Q53GQ0	HSD17B12	73984.5	84402.9	68775.3	100803.1	97984.8
Q53GS7	Q53GS7	GLE1	4192.2	3711.6	4432.6	4963.2	4181.2
Q53GS9	Q53GS9	USP39	16708.6	15516.7	17304.5	16613.8	12910.5
Q53GT1	Q53GT1	KLHL22	9710.1	10179.8	9475.3	10395.7	7454.7
Q53H12	Q53H12	AGK	18268.7	17433.8	18686.1	10624.1	18419.3
Q53H47	Q53H47	SETMAR	10123.4	10002	10184.2	9308.9	7070.5
Q53H82	Q53H82	LACTB2	9166.3	8262.4	9618.3	13343.1	14660.2
Q53H96	Q53H96	PYCR3	12355.9	10583.4	13242.1	12384.7	12191.5
Q53HC0	Q53HC0	CCDC92	3983.9	3413.3	4364.3	11704.3	5463.9
Q53HC9	Q53HC9	EIPR1	25175.6	27178.8	24174	21897.2	28446.5
Q53HV7	Q53HV7	SMUG1	2596.2	2173.5	2701.9	7463.1	3604.6
Q53LP3	Q53LP3	SOWAHC	2891.2	2543.4	3065.1	6917.5	4031.6
Q53R41	Q53R41	FASTKD1	1837.6	2047	1732.9	2544.2	2831
Q53RD9	Q53RD9	FBLN7	8665.1	12412.8	6791.2	19190.2	8692.8
Q53RE8	Q53RE8	ANKRD39	3461.8	3539.1	3397.5	8958.5	3390.3
Q53S58	Q53S58	TMEM177	11507.7	11235.5	11643.7	11408	15050.3
Q53SF7	Q53SF7	COBLL1	9121.2	11144.9	8109.4	21847.8	12058.4
Q53T59	Q53T59	HS1BP3	19201.7	19480.7	19062.3	25316.3	19816.5
Q53TN4	Q53TN4	CYBRD1	4472.7	5485.6	3966.2	8780.1	17521.2
Q562E7	Q562E7	WDR81	8061.2	6777.5	8703	19519.3	9640.2
Q562R1	Q562R1	ACTBL2	22211.2	21509.7	22562	47232.6	32544.9
Q567U6	Q567U6	CCDC93	12188.2	11946.1	12309.2	18883.7	17238.5
Q567V2	Q567V2	MPV17L2	1581.6	1629	1557.8	1837	3035
Q56A73	Q56A73	SPIN4	4116	4116			4073.5
Q56VL3	Q56VL3	OCIAD2	76931.9	90183.6	70306	28386.4	36515
Q587I9	Q587I9	SFT2D3	9392.6	10391.9	8892.9	8522.6	14721.5
Q58DX5	Q58DX5	NAALADL2	1488.9	888.5	1609	8129.3	2523
Q58FF6	Q58FF6	HSP90AB4P	6241.4	6770.5	5976.8	2559.5	6805.1
Q58FF7	Q58FF7	HSP90AB3P	353.4	554.2	253	1059.3	642.2
Q58FG1	Q58FG1	HSP90AA4P	2086.1	1729	2229	4133.8	2263.4
Q58WW2	Q58WW2	DCAF6	3065.9	3055	3072.4	2521.7	3306.9
Q59EK9	Q59EK9	RUNDC3A	7417.9	8799.2	6727.3	6970.8	10815.6
Q5BJD5	Q5BJD5	TMEM41B	11572.3	12784.9	10966	15505.5	10118.5
Q5BJF2	Q5BJF2	TMEM97	8652.2	7947.7	9004.4	11242.7	21600.6
Q5BJF6	Q5BJF6	ODF2	2885.5		2885.5		4022.6
Q5BJH2	Q5BJH2	TMEM128	831.1	1143.8	700.9	4867.1	1305.4
Q5BJH7	Q5BJH7	YIF1B	7646.7	7813.3	7577.3	12961	7024.4
Q5BKZ1	Q5BKZ1	ZNF326	44918.2	46795.4	43979.6	29069.8	22783.3
Q5C9Z4	Q5C9Z4	NOM1	1246.5	1094	1310	1846.8	1090.1
Q5D862	Q5D862	FLG2	5889.3	11647.8	3010	3990.9	4894.2
Q5DX21	Q5DX21	IGSF11				4508.8	3092.3
Q5EB52	Q5EB52	MEST	13440.9	12521.5	13900.7	3890.2	4365.1
Q5EBL2	Q5EBL2	ZNF628	3971.1	3616.7	4089.3	3126.8	3764.6
Q5EBL8	Q5EBL8	PDZD11	7885.3	6584.6	8535.7	14655	5422.6
Q5EBM0	Q5EBM0	CMPK2	5789	6447.9	5459.5	6019.3	6374
Q5F1R6	Q5F1R6	DNAJC21	1547.6	1385	1628.9	7443.2	1681.9
Q5GFL6	Q5GFL6	VWA2	2327		2327		2922.8
Q5GH72	Q5GH72	XKR7	373.4	528.4	302.9	672.9	250.7
Q5GH76	Q5GH76	XKR4	210.2	255.7	164.7		
Q5GLZ8	Q5GLZ8	HERC4	11875.9	12181.7	11723	17370.6	14489
Q5H8A4	Q5H8A4	PIGG	5086	6223.4	4517.3	6355.5	5079.3
Q5H9E4	Q5H9E4	SLC25A53	20629	26057.1	17914.9	8545.7	10603.2
Q5H9L2	Q5H9L2	TCEAL5	13130.1	12437.5	13476.5	78940.4	37542.1
Q5H9R4	Q5H9R4	ARMCX4	1530.1	1704.2	1433.3	5793	2421
Q5H9R7	Q5H9R7	PPP6R3	15057	16464.7	14353.2	15357.7	11259.5
Q5HYA8	Q5HYA8	TMEM67	2303.5	2287.6	2311.5	3429.8	3576.9
Q5HYI7	Q5HYI7	MTX3	8959.5	8319.7	9279.4	14219.3	10553.5
Q5HYI8	Q5HYI8	RABL3	26863.4	24125.4	28232.4	32729.1	27550.4
Q5HYJ3	Q5HYJ3	FAM76B	4765.1	4348.7	4938.6		5899.4
Q5HYK3	Q5HYK3	COQ5	12019.7	12254.4	11902.4	15912.7	15851.4
Q5HYK7	Q5HYK7	SH3D19	1282.1	875.8	1553	2373.7	2839.1
Q5J8M3	Q5J8M3	EMC4	13467.2	14513.8	12944	12665.4	15268.1
Q5JPE7	Q5JPE7	NOMO2	51658.7	59417.3	47779.4	87678.4	75287.8
Q5JPH6	Q5JPH6	EARS2	6979.2	6268.3	7334.6	12658.5	10709
Q5JPI3	Q5JPI3	C3orf38	2111.5	2535.2	1919	3861.6	1745
Q5JPI9	Q5JPI9	EEF1AKMT2	1685.6	1251.2	1902.8	1230.5	1542.2
Q5JR59	Q5JR59	MTUS2	6045.7	7373.6	5381.8	17330.6	6551.8
Q5JRA6	Q5JRA6	MIA3	15085.8	15998.7	14629.4	30809.9	19277.6
Q5JRX3	Q5JRX3	PITRM1	20323.2	21299.7	19834.9	31615.4	30294.4
Q5JS13	Q5JS13	RALGPS1	391.7	468.7	340.3		309.8
Q5JS37	Q5JS37	NHLRC3	14165.5	14476.6	14010	10998	9705.5
Q5JS54	Q5JS54	PSMG4	1900.2	1868.3	1922.9	2010.8	1494.5
Q5JSH3	Q5JSH3	WDR44	15911.4	18092.2	14821	33071.7	28479.3
Q5JSL3	Q5JSL3	DOCK11	597.3	413.1	720	4297.5	855.9
Q5JSP0	Q5JSP0	FGD3	2774.5	2536	2882.9	2045.3	2922.8
Q5JSZ5	Q5JSZ5	PRRC2B	7600.3	8037	7382	14449.6	8645.2
Q5JTD0	Q5JTD0	TJAP1	3939.2	3879.3	3969.1	4181.2	4056.1
Q5JTH9	Q5JTH9	RRP12	17486.8	16325.7	18067.3	21906.3	19683.3
Q5JTJ3	Q5JTJ3	COA6	2925.9	1821	3257.4	4024.4	2810.1
Q5JTV8	Q5JTV8	TOR1AIP1	22844.7	23248.7	22642.7	75262.3	53176.8
Q5JTW2	Q5JTW2	CEP78	2493	2275.1	2565.6	2936.1	3023
Q5JTZ9	Q5JTZ9	AARS2	14699.7	11915.9	16091.6	19845.5	16596.3
Q5JVF3	Q5JVF3	PCID2	12159.8	12766.5	11856.4	9535.6	10293
Q5JVS0	Q5JVS0	HABP4	5498.1	5803.7	5345.4	23563.5	11965.7
Q5JWF2	Q5JWF2	GNAS	46368.1	49050.9	45026.8	55277.3	74499.2
Q5JWR5	Q5JWR5	DOP1A	4297.6	4440.4	4211.9	6738.9	4203.4
Q5JY77	Q5JY77	GPRASP1	6189.9	6901.7	5300.2	11052.4	5641.1
Q5K4L6	Q5K4L6	SLC27A3	16325.6	16251.7	16362.6	19395.8	9606.2
Q5K651	Q5K651	SAMD9	2351.1	2758.4	2147.5	4641	3781.7
Q5M775	Q5M775	SPECC1	1664	1249.7	1836.7	2795.3	1695.3
Q5M8T2	Q5M8T2	SLC35D3	930	1125.3	539.4	4430.8	3655.8
Q5MIZ7	Q5MIZ7	PPP4R3B	5461.7	5113.3	5635.8	4111.5	5777.9
Q5MNZ6	Q5MNZ6	WDR45B	5826.2	6209.1	5634.8	5843.1	5175
Q5NDL2	Q5NDL2	EOGT	2885.7	2338.2	3084.8	828.6	4574.5
Q5PRF9	Q5PRF9	SAMD4B	5134.8	5266.7	5068.8	8336.6	6098.1
Q5PSV4	Q5PSV4	BRMS1L	2514.8	2454.1	2560.4	1384.4	2558
Q5QJ74	Q5QJ74	TBCEL	5346.5	5582.7	5228.5	4726.7	3396.6
Q5QJE6	Q5QJE6	DNTTIP2	7125.5	7120.1	7128.3	16090.1	7608.7
Q5QNW6	Q5QNW6	H2BC18	943	852.2	1033.8	5021.7	2111.1
Q5QP82	Q5QP82	DCAF10	491.6	389.9	542.5	261.5	437.3
Q5R372	Q5R372	RABGAP1L	5482.7	4889.2	5779.4	3638.8	7030.5
Q5R3F8	Q5R3F8	ELFN2				382.3	224.6
Q5R3I4	Q5R3I4	TTC38	41051	40458.1	41347.4	28668.6	22474.3
Q5RI15	Q5RI15	COX20	7378.1	6926.6	7603.9	17054.2	11725.7
Q5RKV6	Q5RKV6	EXOSC6	21407.7	19386.5	22418.3	17702.5	15235.9
Q5SGD2	Q5SGD2	PPM1L	14287.8	15914.6	13474.4	20326	16495.2
Q5SNT2	Q5SNT2	TMEM201	9114.5	10430.7	8456.3	11246.3	9291.8
Q5SQI0	Q5SQI0	ATAT1	12528.6	12443.3	12571.3	5223.8	4250.5
Q5SQN1	Q5SQN1	SNAP47	1130.5	1326.7	885.3		900
Q5SRE5	Q5SRE5	NUP188	16471	17714.8	15849.1	12881.6	15382.9
Q5SRE7	Q5SRE7	PHYHD1	5922.9	4243.9	6762.4	15517.8	7005.3
Q5SRH9	Q5SRH9	TTC39A	8848.7	12562.2	6991.9	4673.2	7929.5
Q5SRI9	Q5SRI9	MANEA	2622.2	1959.4	2906.3	8193.9	4404.6
Q5SSJ5	Q5SSJ5	HP1BP3	140411.7	115234.5	153000.2	269033	207168.7
Q5ST30	Q5ST30	VARS2	4926.6	4743.7	5018.1	6266.1	5063.8
Q5SVS4	Q5SVS4	SLC25A30	1630.9	1390.1	1727.2	2789.8	3020.7
Q5SW79	Q5SW79	CEP170	9588.8	10627.6	9069.4	8814.2	5282.1
Q5SW96	Q5SW96	LDLRAP1	4604	6071.5	3870.2	8103.2	6375.4
Q5SWX8	Q5SWX8	ODR4	10507.6	10511.5	10505.7	22917.2	19883.2
Q5SXH7	Q5SXH7	PLEKHS1				2673.4	1108.2
Q5SXM2	Q5SXM2	SNAPC4	695.4	762.5	658.8	1511	735.1
Q5SXM8	Q5SXM8	DNLZ	1448.5		1448.5	3879.5	3952.9
Q5SY16	Q5SY16	NOL9	10549.1	9382.5	11132.4	3841.5	5605.8
Q5SYC1	Q5SYC1	CLVS2	1375.4	1903.5	1058.6	3976	1626.3
Q5SZK8	Q5SZK8	FREM2	51019.5	18917.5	67070.5	7477.5	10536.3
Q5SZQ8	Q5SZQ8	CELF3	18502.1	22882.3	16312	19347.4	17006.5
Q5T011	Q5T011	SZT2	3384	3538.9	3306.5	9357.2	5951.4
Q5T013	Q5T013	HYI	6988.8	7036.5	6965	16193.8	16226.1
Q5T0B9	Q5T0B9	ZNF362	4055.4	3945.3	4105.5	2083.8	2287.3
Q5T0D9	Q5T0D9	TPRG1L	6649.9	6502	6717.2		6785.2
Q5T0F9	Q5T0F9	CC2D1B	6760.4	6545	6868.1	13310.6	8144
Q5T0N5	Q5T0N5	FNBP1L	22719.7	23656.9	22251.1	18013.8	13887
Q5T0W9	Q5T0W9	FAM83B	1243.6	1485.2	1002.1		2106
Q5T0Z8	Q5T0Z8	C6orf132	536.1		536.1	1488.6	1457.5
Q5T160	Q5T160	RARS2	6652.1	6586.7	6684.9	7820.2	12992.3
Q5T1C6	Q5T1C6	THEM4	942.6	905.1	963.5	1563.7	1694.2
Q5T1J5	Q5T1J5	CHCHD2P9	19644.8	14594.1	22170.1	34483.6	36583.5
Q5T1M5	Q5T1M5	FKBP15	7645.1	7686.4	7624.5	14958.6	10829.1
Q5T1V6	Q5T1V6	DDX59	3268.7	3397.4	3204.3	6089.5	3738.9
Q5T200	Q5T200	ZC3H13	8730.1	8144.9	9022.7	11432.5	8028.3
Q5T280	Q5T280	SPOUT1	5458.9	5541.4	5413	6051.1	4892.2
Q5T2D3	Q5T2D3	OTUD3	760.7	864.9	725.9	1340	1263.1
Q5T2E6	Q5T2E6	ARMH3	10802.5	11664.8	10371.4	10035.3	12251.7
Q5T2T1	Q5T2T1	MPP7	4366.5	3225.7	4936.9	14926.4	9241.9
Q5T2W1	Q5T2W1	PDZK1	19151.5	25136.3	16159.1	19813.8	16752.1
Q5T3F8	Q5T3F8	TMEM63B	5683.9	6526.5	5262.7	3853.5	3435.6
Q5T3U5	Q5T3U5	ABCC10	543.2	583.6	502.8	2975.5	213.5
Q5T440	Q5T440	IBA57	15687.4	13419.1	16821.5	35207.9	25548.9
Q5T447	Q5T447	HECTD3	8565.1	8911.3	8392.1	14938	10269
Q5T4D3	Q5T4D3	TMTC4	1506.5	998.2	1697.1		649
Q5T4F4	Q5T4F4	ZFYVE27	5295.8	4622.5	5632.4		6352.5
Q5T4S7	Q5T4S7	UBR4	23440.4	23794.8	23263.2	24733.6	28757.1
Q5T5C0	Q5T5C0	STXBP5	21989.7	26146.2	19911.5	55591.9	63473.4
Q5T5P2	Q5T5P2	KIAA1217	14305.7	12755.2	15081	22793	12870
Q5T5U3	Q5T5U3	ARHGAP21	3592.9	3398.8	3689.9	7793.5	2865.2
Q5T5Y3	Q5T5Y3	CAMSAP1	4251.6	4556.2	4099.3	6872.9	3944.3
Q5T653	Q5T653	MRPL2	9783.8	7565.8	10892.8	15263.1	13931
Q5T6F2	Q5T6F2	UBAP2	5128.9	5642.5	4872.1	9388.6	6031.7
Q5T6J7	Q5T6J7	IDNK	2024.8	2524.3	1775.1	14155.1	2745.2
Q5T6V5	Q5T6V5	C9orf64				24995.1	28572.4
Q5T749	Q5T749	KPRP	10805.9	14980.4	4544.3	3626.1	5622.3
Q5T7N3	Q5T7N3	KANK4	2270.9		2270.9	3881.1	1950
Q5T7V8	Q5T7V8	GORAB	2705.7	2318.5	2770.2	6444	3180.3
Q5T7W0	Q5T7W0	ZNF618	10772.1	9547.4	11384.4	1807.9	10184.6
Q5T8A7	Q5T8A7	PPP1R26	5873.8	7012.5	5620.8	9203.7	4836.3
Q5T8D3	Q5T8D3	ACBD5	6123.3	6229.2	6070.3	7582.5	6073.5
Q5T8P6	Q5T8P6	RBM26	18570.1	17197.1	19256.6	19408.2	15508.7
Q5T9A4	Q5T9A4	ATAD3B	7494.7	6507.9	7988.2	11245.7	6438.8
Q5T9C2	Q5T9C2	FAM102A	3180.7	2360.5	3317.4	8277	5287.2
Q5T9L3	Q5T9L3	WLS	7409.4	6148.8	8039.7	2061.5	10388.3
Q5TA45	Q5TA45	INTS11	16065.4	14850	16673.1	8504.8	14647.7
Q5TAQ9	Q5TAQ9	DCAF8	9395.5	10133.9	9026.2	8428.3	7401.5
Q5TAX3	Q5TAX3	TUT4	4389.2	4678.5	4244.5	2030	2880.6
Q5TBA9	Q5TBA9	FRY	4297.8	5028.4	3932.5	3791.4	3789.1
Q5TBB1	Q5TBB1	RNASEH2B	4117.4	3236.6	4557.8	3814	2945.6
Q5TC12	Q5TC12	ATPAF1	7897.4	7320.4	8185.9	13747.1	8466.8
Q5TC82	Q5TC82	RC3H1	2715.1	2284.2	2973.7	2885.7	3046.1
Q5TCQ9	Q5TCQ9	MAGI3	817.2	805.6	821.6	1228.1	993.9
Q5TCZ1	Q5TCZ1	SH3PXD2A	5776	6749.4	5289.3	4193.7	4092.5
Q5TDH0	Q5TDH0	DDI2	28967.7	31186.1	27858.5	66805.5	34553.2
Q5TEC6	Q5TEC6	H3-2	320786.2	260233.8	351062.4	327379	420813.7
Q5TEU4	Q5TEU4	NDUFAF5	6203.4	6169.3	6220.4	7595.4	7966.4
Q5TF21	Q5TF21	SOGA3	9849.6	11748.6	8900.1	16213.5	8376.1
Q5TF39	Q5TF39	MFSD4B	11926.6	12962.4	11149.9	4347.8	8709.1
Q5TFE4	Q5TFE4	NT5DC1	9418.9	9575.4	9340.7	13397.5	11658
Q5TGI0	Q5TGI0	FAXC	2559.3	2766.9	2351.6	1764.8	3294.6
Q5TGY3	Q5TGY3	AHDC1	20977.5	21630.6	20651	33872.5	19099
Q5TGZ0	Q5TGZ0	MICOS10	4561.3	3846.6	4740	4725.2	4794.4
Q5TH69	Q5TH69	ARFGEF3	18143.7	22013.6	16208.7	22136.4	21282.8
Q5THJ4	Q5THJ4	VPS13D	2625.9	2556.8	2660.5	3411.6	3661.3
Q5THK1	Q5THK1	PRR14L	2553.9	2632.3	2521.3	5335	3121.8
Q5TZA2	Q5TZA2	CROCC	10364.4	9885.7	10603.8	19544	12212.3
Q5U5X0	Q5U5X0	LYRM7	6284.1	5576	6638.1	7973.6	5605.9
Q5U651	Q5U651	RASIP1	4679.7		4679.7	13714.6	5470.2
Q5UCC4	Q5UCC4	EMC10	9837.7	9981.7	9777.7	11335.3	13060.1
Q5UIP0	Q5UIP0	RIF1	9600.9	10096.7	9353	11024.2	8161.7
Q5VIR6	Q5VIR6	VPS53	15293.8	16435.5	14722.9	15782.2	16594.8
Q5VSG8	Q5VSG8	MANEAL	4618.4	5586.6	4090.2	7545.9	4536.4
Q5VSL9	Q5VSL9	STRIP1	12854.9	13148.3	12708.1	34028.4	11963.5
Q5VST6	Q5VST6	ABHD17B	6733.2	7264.8	6443.3		5210.1
Q5VSY0	Q5VSY0	GKAP1	4282.5	4574.5	4136.5	8870.6	3896.4
Q5VT06	Q5VT06	CEP350	1417.4	2028	1234.3	6447	2119.1
