category	parent	database	scope	aspect	source	uniprot	genesymbol	entity_type	consensus_score	transmitter	receiver	secreted	plasma_membrane_transmembrane	plasma_membrane_peripheral
ligand	ligand	OmniPath	generic	functional	composite	Q9P232	CNTN3	protein	1	TRUE	FALSE	FALSE	TRUE	TRUE
ligand	ligand	OmniPath	generic	functional	composite	Q9H0A0	NAT10	protein	1	TRUE	FALSE	FALSE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9NZU0	FLRT3	protein	2	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P52799	EFNB2	protein	8	TRUE	FALSE	FALSE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q7L266	ASRGL1	protein	1	TRUE	FALSE	FALSE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9NR61	DLL4	protein	9	TRUE	FALSE	FALSE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P04004	VTN	protein	10	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P29034	S100A2	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q96KG7	MEGF10	protein	2	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P32971	TNFSF8	protein	13	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q6RW13	AGTRAP	protein	1	TRUE	FALSE	FALSE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9NT99	LRRC4B	protein	1	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P15813	CD1D	protein	1	TRUE	FALSE	FALSE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9NZ94	NLGN3	protein	6	TRUE	FALSE	FALSE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P05015	IFNA16	protein	15	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P01889	HLA-B	protein	6	TRUE	FALSE	FALSE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P48745	CCN3	protein	14	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P01286	GHRH	protein	15	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	O43508	TNFSF12	protein	16	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P40199	CEACAM6	protein	2	TRUE	FALSE	FALSE	TRUE	TRUE
ligand	ligand	OmniPath	generic	functional	composite	O43559	FRS3	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P01135	TGFA	protein	20	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q93038	TNFRSF25	protein	1	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9BZM5	ULBP2	protein	7	TRUE	FALSE	TRUE	TRUE	TRUE
ligand	ligand	OmniPath	generic	functional	composite	Q00604	NDP	protein	11	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9H1J5	WNT8A	protein	10	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q6UVW9	CLEC2A	protein	2	TRUE	FALSE	FALSE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P28068	HLA-DMB	protein	0	TRUE	FALSE	FALSE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q10589	BST2	protein	2	TRUE	FALSE	FALSE	TRUE	TRUE
ligand	ligand	OmniPath	generic	functional	composite	O95958	LIBC	protein	0	TRUE	FALSE	FALSE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9UNG2	TNFSF18	protein	14	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q07325	CXCL9	protein	18	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P42702	LIFR	protein	1	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P33681	CD80	protein	3	TRUE	FALSE	FALSE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	O00253	AGRP	protein	14	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P06307	CCK	protein	15	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q96A98	PTH2	protein	12	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9BUD6	SPON2	protein	4	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	O95399	UTS2	protein	14	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9UEF7	KL	protein	3	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P01375	TNF	protein	19	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P31997	CEACAM8	protein	1	TRUE	FALSE	FALSE	FALSE	TRUE
ligand	ligand	OmniPath	generic	functional	composite	P02766	TTR	protein	3	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q02487	DSC2	protein	2	TRUE	FALSE	FALSE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P23582	NPPC	protein	16	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	O95196	CSPG5	protein	2	TRUE	FALSE	FALSE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	O95841	ANGPTL1	protein	13	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P07942	LAMB1	protein	7	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q96PD4	IL17F	protein	17	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q15818	NPTX1	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P49771	FLT3LG	protein	17	TRUE	FALSE	TRUE	TRUE	FALSE
