Protein.Ids	Genes	sorted.avg	sorted.CV	sorted.%	unsorted.avg	unsorted.CV	unsorted.%	stem.mean	stem.CV	stem.%	ND.mean	ND.CV	ND.%	T2D.mean	T2D.CV	T2D.%	human.mean	human.CV	human.%
Q9UI17	DMGDH			0	2968.66	69	45	2968.66	69	28	3472.58	26	100	2934.26	32.22559062	93.33333333	3415.49	27.24522606	99.2481203
Q9UI26	IPO11	1658.22	17	100	1955.00	10	100	1839.58	15	100	1697.66	20	100	1845.10	18.19158289	100	1714.29	20.18459049	100
Q9UI30	TRMT112	9450.71	25	100	14109.72	13	100	12297.88	25	100	14245.66	25	100	14007.25	23.88301923	100	14218.77	24.51659246	100
Q9UI32	GLS2	918.73		14			0	918.73		6	2446.79	35	95	2182.95	43.49539979	100	2415.62	36.14362865	95.4887218
Q9UI36	DACH1	15235.88	11	100	13341.39	24	100	14078.13	20	100	8401.08	19	100	7995.25	28.1129596	93.33333333	8358.04	20.24236476	99.2481203
Q9UIA9	XPO7	37217.08	13	100	44442.98	7	100	41632.90	13	100	48307.47	9	100	45518.57	12.29793852	100	47992.93	9.49146833	100
Q9UIC8	LCMT1	24860.13	13	100	23091.66	9	100	23779.40	11	100	20724.85	8	100	20052.01	10.38888125	100	20648.96	8.539333045	100
Q9UID3	VPS51	12746.21	9	100	11456.43	9	100	11958.01	10	100	14121.08	8	100	13503.86	10.15678982	100	14051.47	7.998233852	100
Q9UIF8	BAZ2B	28518.73	18	100	29452.55	21	100	29089.40	19	100	32407.50	31	100	37654.59	36.4218463	100	32999.27	32.29114979	100
Q9UIF9	BAZ2A	4940.52	17	100	4894.50	20	100	4912.40	18	100	4075.28	20	100	4498.77	20.83268494	100	4123.04	20.14804842	100
Q9UIG0	BAZ1B	10435.82	21	100	14153.25	20	100	12707.58	25	100	8354.42	12	100	9010.03	11.73078329	100	8428.36	12.39865515	100
Q9UII2	ATP5IF1	23311.72	25	100	25795.01	23	100	24829.29	24	100	28610.34	38	100	25455.53	31.5638162	100	28254.53	37.8771885	100
Q9UII4	HERC5	2716.08	18	100	1937.34	24	82	2278.04	27	89	3455.99	19	100	3597.27	20.02522183	100	3471.92	18.76430576	100
Q9UIJ5	ZDHHC2	2679.95	41	100	2073.36	42	100	2309.26	43	100	2827.28	34	100	2518.00	26.88652924	86.66666667	2796.59	33.41698821	98.4962406
Q9UIJ7	AK3	98293.86	27	100	104202.75	22	100	101904.85	23	100	152555.21	15	100	133711.00	13.17094867	100	150429.92	14.98863886	100
Q9UIL1	SCOC	2012.51	86	57	1866.78	42	91	1908.42	55	78	2072.20	40	58	2732.07	46.4810487	60	2148.34	42.27082173	58.64661654
Q9UIM3	FKBPL	2106.39	34	100	1827.68	37	100	1936.06	35	100	2425.33	49	93	2212.45	52.38083356	100	2399.78	48.82931972	93.98496241
Q9UIQ6	LNPEP	12261.94	23	100	14489.29	24	100	13623.10	24	100	24199.77	13	100	22435.85	19.43833444	100	24000.83	13.66137822	100
Q9UIS9	MBD1	6192.17	20	100	6079.07	21	100	6123.05	20	100	5700.88	20	100	5997.89	22.44484995	100	5734.38	20.59873451	100
Q9UIV1	CNOT7	6433.73	21	100	6855.85	16	100	6691.70	18	100	5306.99	16	100	5701.82	13.64393899	100	5351.52	16.23386052	100
Q9UIW2	PLXNA1	332.10	24	29	366.23	52	82	360.03	48	61	253.71	61	25	343.28	65.20937142	60	274.38	63.23061198	29.32330827
Q9UJ04	TSPYL4	4647.06	24	100	2936.62	33	100	3601.79	36	100	3350.42	27	100	2501.74	47.44991847	100	3254.71	29.79834164	100
