hgnc_symbol	sorted_eBCs_score	combined_sc_max_score	scRNA_down_in_eBC_score	SCbeta_scRNA_melton2019_score	scRNA_down_in_SCbeta_melton2019_score	scRNA_down_in_SCbeta_balboa2022_score	sc_islet_bulk_rna_score	bulkRNA_down_in_SCislet_score	all_sc_proteomics_score	proteomics_down_in_sc_score	aggregate_score
CALCA	0.27315914489311166	0.33966745843230406	0	0.2992874109263658	0	0	0.49406175771971494	0.8076009501187649	0.09501187648456057	0	0.5795724465558195
CALCB	0.33729216152019004	0.498812351543943	0	0.2992874109263658	0.9501187648456056	0	0.4014251781472684	0.8622327790973872	0.09501187648456057	0	0.9548693586698337
CCK	0.14726840855106887	0.2826603325415677	0	0.2992874109263658	0	0	0.5320665083135392	0	0.09501187648456057	0	0.2161520190023753
CCL1	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
CCL11	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
CCL13	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
CCL14	0.48931116389548696	0.6413301662707839	0	0.2992874109263658	0	0	0.6294536817102138	0	0.09501187648456057	0	0.48931116389548696
CCL15	0.4323040380047506	0.40380047505938244	0	0.2992874109263658	0	0	0.6294536817102138	0	0.09501187648456057	0	0.38954869358669836
CCL16	0.48931116389548696	0.5249406175771971	0	0.2992874109263658	0	0	0.6294536817102138	0	0.09501187648456057	0	0.4489311163895487
CCL17	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0.9121140142517815	0.09501187648456057	0	0.9406175771971497
CCL18	0.48931116389548696	0.6413301662707839	0	0.2992874109263658	0	0	0.6294536817102138	0	0.09501187648456057	0	0.48931116389548696
CCL19	0.48931116389548696	0.6413301662707839	0	0.2992874109263658	0	0	0.6294536817102138	0	0.09501187648456057	0	0.48931116389548696
CCL2	0.2826603325415677	0.27078384798099764	0	0.2992874109263658	0	0	0.35391923990498814	0	0.09501187648456057	0	0.2042755344418052
CCL20	0.48931116389548696	0.5938242280285035	0	0.2992874109263658	0	0	0.3847980997624703	0	0.09501187648456057	0	0.35629453681710216
CCL21	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
CCL22	0.4323040380047506	0.43705463182897863	0	0.2992874109263658	0	0	0.6294536817102138	0.9904988123515439	0.09501187648456057	0	0.838479809976247
CCL23	0.48931116389548696	0.6413301662707839	0	0.2992874109263658	0	0	0.6294536817102138	0	0.09501187648456057	0	0.48931116389548696
CCL24	0.48931116389548696	0.5938242280285035	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6294536817102138
CCL25	0.48931116389548696	0.5249406175771971	0	0.2992874109263658	0	0	0.6294536817102138	0	0.09501187648456057	0	0.4489311163895487
CCL26	0.48931116389548696	0.6413301662707839	0	0.2992874109263658	0	0	0.6294536817102138	0.8669833729216152	0.09501187648456057	0	0.8479809976247031
CCL27	0.3087885985748218	0.4584323040380047	0	0.2992874109263658	0	0	0.6294536817102138	0	0.09501187648456057	0	0.3515439429928741
CCL28	0.48931116389548696	0.4584323040380047	0	0.2992874109263658	0.9382422802850356	0	0.20902612826603326	0	0.09501187648456057	0	0.6342042755344418
