Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,T:\Data\Islet\N1\Islet_Pooled_P6_tech1_150ng_12-24-2021_Slot2-51_2375.d
A8MWD9,A8MWD9,,SNRPGP15,,48744.9
A8MWY0,A8MWY0,,ELAPOR2,,326.836
A8MXV4,A8MXV4,,NUDT19,,8121.32
A9UHW6,A9UHW6,,MIF4GD,,1585.01
B2RUZ4,B2RUZ4,,SMIM1,,1649.39
B7ZAP0,B7ZAP0,,RABGAP1L,,110.092
B7ZAQ6,B7ZAQ6,,GPR89A,,3577.88
C4AMC7,C4AMC7,,WASH3P,,19102.7
C9J069,C9J069,,AJM1,,4183.74
C9JLW8,C9JLW8,,MCRIP1,,2474.82
E9PAV3,E9PAV3,,NACA,,23259.9
E9PRG8,E9PRG8,,C11orf98,,6218.87
H3BSY2,H3BSY2,,GOLGA8M,,2103.28
L0R6Q1,L0R6Q1,,SLC35A4,,15839
L0R819,L0R819,,ASDURF,,420.609
L0R8F8,L0R8F8,,MIEF1,,2326.38
O00115,O00115,,DNASE2,,7931.77
O00116,O00116,,AGPS,,3710.57
O00139,O00139,,KIF2A,,5714.39
O00142,O00142,,TK2,,8014.45
O00151,O00151,,PDLIM1,,80088
O00154,O00154,,ACOT7,,8669.39
O00159,O00159,,MYO1C,,37119.9
O00161,O00161,,SNAP23,,6407.15
O00165,O00165,,HAX1,,7325.36
O00170,O00170,,AIP,,21796.2
O00178,O00178,,GTPBP1,,5671.29
O00182,O00182,,LGALS9,,2001.07
O00186,O00186,,STXBP3,,6085.6
O00189,O00189,,AP4M1,,1121.55
O00192,O00192,,ARVCF,,10836.5
O00193,O00193,,SMAP,,44761.8
O00194,O00194,,RAB27B,,3038.77
O00203,O00203,,AP3B1,,23673.7
O00213,O00213,,APBB1,,3883.55
O00214,O00214,,LGALS8,,2431.14
O00217,O00217,,NDUFS8,,30157.9
O00231,O00231,,PSMD11,,32490.8
O00232,O00232,,PSMD12,,27993.6
O00233,O00233,,PSMD9,,20933.3
O00241,O00241,,SIRPB1,,
O00244,O00244,,ATOX1,,2235.63
O00255,O00255,,MEN1,,4138.59
O00258,O00258,,GET1,,4591.55
O00264,O00264,,PGRMC1,,121512
O00267,O00267,,SUPT5H,,9298.64
O00268,O00268,,TAF4,,2002.72
