Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,T:\Data\Islet\N1\Islet_Pooled_P6_tech1_150ng_12-24-2021_Slot2-51_2375.d
P19971,P19971,,TYMP,,7081.35
P20020,P20020,,ATP2B1,,20276.3
P20042,P20042,,EIF2S2,,17780.7
P20073,P20073,,ANXA7,,93166.2
P20226,P20226,,TBP,,1441.46
P20231,P20231,,TPSB2,,42746.7
P20290,P20290,,BTF3,,19697.5
P20292,P20292,,ALOX5AP,,2397.1
P20336,P20336,,RAB3A,,12070.5
P20337,P20337,,RAB3B,,126324
P20338,P20338,,RAB4A,,11443.1
P20339,P20339,,RAB5A,,75295.7
P20340,P20340,,RAB6A,,82032.2
P20585,P20585,,MSH3,,6045.92
P20591,P20591,,MX1,,3397.9
P20592,P20592,,MX2,,
P20618,P20618,,PSMB1,,33755.1
P20645,P20645,,M6PR,,27207.5
P20648,P20648,,ATP4A,,
P20674,P20674,,COX5A,,100270
P20700,P20700,,LMNB1,,84824.2
P20711,P20711,,DDC,,11315.6
P20810,P20810,,CAST,,23588.2
P20815,P20815,,CYP3A5,,
P20823,P20823,,HNF1A,,4821.34
P20839,P20839,,IMPDH1,,7172.44
P20930,P20930,,FLG,,1725.28
P20933,P20933,,AGA,,58759.5
P20936,P20936,,RASA1,,4347.98
P20962,P20962,,PTMS,,121192
P21127,P21127,,CDK11B,,10762.1
P21266,P21266,,GSTM3,,18622
P21281,P21281,,ATP6V1B2,,91019.1
P21283,P21283,,ATP6V1C1,,33710
P21291,P21291,,CSRP1,,42023.1
P21333,P21333,,FLNA,,63843.5
P21359,P21359,,NF1,,4537.65
P21397,P21397,,MAOA,,37348.8
P21399,P21399,,ACO1,,65905.5
P21579,P21579,,SYT1,,5011.42
P21589,P21589,,NT5E,,3545.62
P21695,P21695,,GPD1,,84080.4
P21741,P21741,,MDK,,
P21796,P21796,,VDAC1,,92959
P21854,P21854,,CD72,,
P21912,P21912,,SDHB,,48640.9
P21926,P21926,,CD9,,3591.06
P21953,P21953,,BCKDHB,,1475.47
P21964,P21964,,COMT,,14911.5
P21980,P21980,,TGM2,,20956.2
P22003,P22003,,BMP5,,1418.92
P22033,P22033,,MMUT,,22865.2
P22059,P22059,,OSBP,,13176.2
P22061,P22061,,PCMT1,,84003.7
P22087,P22087,,FBL,,30068.5
P22090,P22090,,RPS4Y1,,
P22102,P22102,,GART,,27861.9
P22234,P22234,,PAICS,,21061.1
P22304,P22304,,IDS,,1305.43
P22307,P22307,,SCP2,,28878.1
P22314,P22314,,UBA1,,145024
P22352,P22352,,GPX3,,7913.73
P22392,P22392,,NME2,,155879
P22413,P22413,,ENPP1,,6699.18
P22570,P22570,,FDXR,,13859
P22626,P22626,,HNRNPA2B1,,428621
P22670,P22670,,RFX1,,3247.34
P22676,P22676,,CALB2,,
P22681,P22681,,CBL,,
P22694,P22694,,PRKACB,,16934.2
P22695,P22695,,UQCRC2,,72313.5
P22748,P22748,,CA4,,4541.36
P22760,P22760,,AADAC,,1473.91
P22830,P22830,,FECH,,5894.36
P23025,P23025,,XPA,,3530.22
P23141,P23141,,CES1,,8693.79
P23193,P23193,,TCEA1,,27340.3
P23229,P23229,,ITGA6,,11785.9
P23246,P23246,,SFPQ,,94448
P23258,P23258,,TUBG1,,15797.8
P23284,P23284,,PPIB,,223464
P23368,P23368,,ME2,,45889.3
P23381,P23381,,WARS1,,31634.9
P23396,P23396,,RPS3,,143370
P23434,P23434,,GCSH,,1360.08
P23443,P23443,,RPS6KB1,,3472.51
P23458,P23458,,JAK1,,4620.12
P23467,P23467,,PTPRB,,
P23497,P23497,,SP100,,7108.31
P23508,P23508,,MCC,,2415.87
P23526,P23526,,AHCY,,58711.5
P23528,P23528,,CFL1,,160024
P23588,P23588,,EIF4B,,70803.5
P23610,P23610,,F8A1,,7529.99
P23634,P23634,,ATP2B4,,13247.2
P23743,P23743,,DGKA,,2844.61
P23786,P23786,,CPT2,,23057
P23919,P23919,,DTYMK,,17578
P23921,P23921,,RRM1,,3963.69
P23946,P23946,,CMA1,,2847.65
P24043,P24043,,LAMA2,,10935.4
P24298,P24298,,GPT,,
P24310,P24310,,COX7A1,,1206.05
P24386,P24386,,CHM,,5227.78
P24468,P24468,,NR2F2,,
P24534,P24534,,EEF1B2,,89696.8
P24539,P24539,,ATP5PB,,135000
P24557,P24557,,TBXAS1,,
P24593,P24593,,IGFBP5,,16097.5
P24666,P24666,,ACP1,,33929.3
P24723,P24723,,PRKCH,,633.901
P24752,P24752,,ACAT1,,246729
P24844,P24844,,MYL9,,2534.76
P24928,P24928,,POLR2A,,9121.93
P24941,P24941,,CDK2,,1106.37
P25054,P25054,,APC,,624.397
P25098,P25098,,GRK2,,8648.49
P25205,P25205,,MCM3,,2653.57
P25208,P25208,,NFYB,,2415.02
P25311,P25311,,AZGP1,,10346.3
P25325,P25325,,MPST,,26380.8
P25398,P25398,,RPS12,,84922.8
P25440,P25440,,BRD2,,5584.55
P25445,P25445,,FAS,,768.245
P25490,P25490,,YY1,,13854.7
P25685,P25685,,DNAJB1,,13415
P25686,P25686,,DNAJB2,,9775.75
P25705,P25705,,ATP5F1A,,500254
P25774,P25774,,CTSS,,3259.35
P25786,P25786,,PSMA1,,79371.6
P25787,P25787,,PSMA2,,64370.4
P25788,P25788,,PSMA3,,29718.3
P25789,P25789,,PSMA4,,80299.2
P26006,P26006,,ITGA3,,10046.3
P26038,P26038,,MSN,,257707
P26045,P26045,,PTPN3,,
P26196,P26196,,DDX6,,39744
P26232,P26232,,CTNNA2,,10977.8
P26358,P26358,,DNMT1,,2045.64
P26367,P26367,,PAX6,,5249.9
P26368,P26368,,U2AF2,,60080.5
P26373,P26373,,RPL13,,207690
P26378,P26378,,ELAVL4,,10210.7
P26440,P26440,,IVD,,58869.2
P26447,P26447,,S100A4,,3341.06
P26572,P26572,,MGAT1,,8773.81
P26583,P26583,,HMGB2,,26248.1
P26599,P26599,,PTBP1,,87580.9
P26639,P26639,,TARS1,,35368.5
P26640,P26640,,VARS1,,50778
P26641,P26641,,EEF1G,,140119
P26885,P26885,,FKBP2,,58912.5
P27105,P27105,,STOM,,21133.8
P27144,P27144,,AK4,,5361.47
P27169,P27169,,PON1,,473.654
P27216,P27216,,ANXA13,,1713.56
P27338,P27338,,MAOB,,22462
P27348,P27348,,YWHAQ,,108302
P27361,P27361,,MAPK3,,13959.7
P27448,P27448,,MARK3,,7584.65
P27449,P27449,,ATP6V0C,,16320.2
P27482,P27482,,CALML3,,1032.83
P27487,P27487,,DPP4,,13797.6
P27540,P27540,,ARNT,,536.981
P27544,P27544,,CERS1,,
P27635,P27635,,RPL10,,111557
P27694,P27694,,RPA1,,15343.7
P27695,P27695,,APEX1,,48707.2
P27701,P27701,,CD82,,
P27707,P27707,,DCK,,
P27708,P27708,,CAD,,8253.46
P27797,P27797,,CALR,,248401
P27816,P27816,,MAP4,,35051.4
P27824,P27824,,CANX,,119546
P27986,P27986,,PIK3R1,,1182.24
P28062,P28062,,PSMB8,,10067.8
P28065,P28065,,PSMB9,,5489.34
P28066,P28066,,PSMA5,,33902.7
P28070,P28070,,PSMB4,,40130.7
P28072,P28072,,PSMB6,,55361.8
P28074,P28074,,PSMB5,,16390.4
P28161,P28161,,GSTM2,,154161
P28288,P28288,,ABCD3,,8851.65
P28289,P28289,,TMOD1,,21238
P28290,P28290,,ITPRID2,,2146.61
P28330,P28330,,ACADL,,1513.16
P28331,P28331,,NDUFS1,,50114
P28340,P28340,,POLD1,,26131.1
P28347,P28347,,TEAD1,,3425.14
P28370,P28370,,SMARCA1,,11228.9
P28482,P28482,,MAPK1,,34605.2
P28676,P28676,,GCA,,4050.33
P28702,P28702,,RXRB,,
P28715,P28715,,ERCC5,,1746.51
P28799,P28799,,GRN,,3214.94
P28827,P28827,,PTPRM,,673.808
P28838,P28838,,LAP3,,40862.3
P28906,P28906,,CD34,,3486.09
P29083,P29083,,GTF2E1,,2850.75
P29084,P29084,,GTF2E2,,2398.89
P29120,P29120,,PCSK1,,116921
P29144,P29144,,TPP2,,10691.9
P29218,P29218,,IMPA1,,56656.8
P29317,P29317,,EPHA2,,709.408
P29323,P29323,,EPHB2,,
P29350,P29350,,PTPN6,,8623.8
P29353,P29353,,SHC1,,1795.82
P29372,P29372,,MPG,,2198.23
P29373,P29373,,CRABP2,,
P29375,P29375,,KDM5A,,2024.12
P29401,P29401,,TKT,,309148
P29466,P29466,,CASP1,,2317
P29474,P29474,,NOS3,,1527.2
P29508,P29508,,SERPINB3,,3234.89
P29536,P29536,,LMOD1,,1431.73
P29590,P29590,,PML,,9208.85
P29597,P29597,,TYK2,,
P29622,P29622,,SERPINA4,,3967.33
P29692,P29692,,EEF1D,,141406
P29762,P29762,,CRABP1,,
P29966,P29966,,MARCKS,,22991.9
P29972,P29972,,AQP1,,35210.3
P29992,P29992,,GNA11,,38442.9
P30038,P30038,,ALDH4A1,,24020.7
P30039,P30039,,PBLD,,19695.6
P30040,P30040,,ERP29,,206718
P30041,P30041,,PRDX6,,153431
P30043,P30043,,BLVRB,,18841.1
P30044,P30044,,PRDX5,,93821.1
P30046,P30046,,DDT,,83097.7
P30047,P30047,,GCHFR,,2316.23
P30048,P30048,,PRDX3,,229143
P30049,P30049,,ATP5F1D,,96692.8
P30050,P30050,,RPL12,,116517
P30084,P30084,,ECHS1,,76860.1
P30085,P30085,,CMPK1,,140494
P30086,P30086,,PEBP1,,570278
P30101,P30101,,PDIA3,,767373
P30153,P30153,,PPP2R1A,,62309
P30154,P30154,,PPP2R1B,,2157.46
P30260,P30260,,CDC27,,2686.83
P30281,P30281,,CCND3,,503.494
P30405,P30405,,PPIF,,26843.1
P30414,P30414,,NKTR,,216.295
P30419,P30419,,NMT1,,21242
P30519,P30519,,HMOX2,,9666.89
P30520,P30520,,ADSS2,,14204.3
P30533,P30533,,LRPAP1,,17233.3
P30536,P30536,,TSPO,,4319.67
P30566,P30566,,ADSL,,12824.5
P30622,P30622,,CLIP1,,10976.1
P30626,P30626,,SRI,,36667.8
P30711,P30711,,GSTT1,,16850.8
P30740,P30740,,SERPINB1,,67445.6
P30793,P30793,,GCH1,,14159.9
P30837,P30837,,ALDH1B1,,24019.2
P30874,P30874,,SSTR2,,2767.75
P30876,P30876,,POLR2B,,13036.1
P31025,P31025,,LCN1,,1271.62
P31040,P31040,,SDHA,,48756.5
P31146,P31146,,CORO1A,,6210.56
P31150,P31150,,GDI1,,97524.7
P31151,P31151,,S100A7,,6045.04
P31153,P31153,,MAT2A,,27999
P31323,P31323,,PRKAR2B,,13628.2
P31327,P31327,,CPS1,,
P31431,P31431,,SDC4,,2042.96
P31483,P31483,,TIA1,,5000.61
P31513,P31513,,FMO3,,
P31689,P31689,,DNAJA1,,18382.7
P31749,P31749,,AKT1,,4649.89
P31751,P31751,,AKT2,,2220.93
P31930,P31930,,UQCRC1,,91466.6
P31937,P31937,,HIBADH,,62931.5
P31939,P31939,,ATIC,,47781.1
P31942,P31942,,HNRNPH3,,92711.9
P31943,P31943,,HNRNPH1,,99255.5
P31944,P31944,,CASP14,,5280.83
P31946,P31946,,YWHAB,,434199
P31947,P31947,,SFN,,798.862
P31948,P31948,,STIP1,,144315
P31949,P31949,,S100A11,,28091.3
P32004,P32004,,L1CAM,,723.654
P32119,P32119,,PRDX2,,373764
P32121,P32121,,ARRB2,,4225.41
P32189,P32189,,GK,,4747.75
P32321,P32321,,DCTD,,1960.68
P32322,P32322,,PYCR1,,8910.27
P32418,P32418,,SLC8A1,,
P32455,P32455,,GBP1,,815.625
P32456,P32456,,GBP2,,1420.08
P32519,P32519,,ELF1,,2414.62
P32856,P32856,,STX2,,443.177
P32929,P32929,,CTH,,5179.6
P32969,P32969,,RPL9,,42302.2
P33121,P33121,,ACSL1,,31642.9
P33151,P33151,,CDH5,,1383.44
P33176,P33176,,KIF5B,,54399.5
P33240,P33240,,CSTF2,,13002.7
P33316,P33316,,DUT,,20591.2
P33402,P33402,,GUCY1A2,,1217.03
P33527,P33527,,ABCC1,,2065.84
P33897,P33897,,ABCD1,,2933.09
P33908,P33908,,MAN1A1,,37558.9
P33991,P33991,,MCM4,,
P33992,P33992,,MCM5,,1198.12
P33993,P33993,,MCM7,,11219.6
P34059,P34059,,GALNS,,5400.34
P34896,P34896,,SHMT1,,6707.23
P34897,P34897,,SHMT2,,43410.5
P34913,P34913,,EPHX2,,14535.3
P34931,P34931,,HSPA1L,,776.744
P34932,P34932,,HSPA4,,51565.6
P34949,P34949,,MPI,,19862
P35030,P35030,,PRSS3,,53117.1
P35080,P35080,,PFN2,,95858
P35219,P35219,,CA8,,5366.81
P35221,P35221,,CTNNA1,,82268.9
P35222,P35222,,CTNNB1,,39403
P35226,P35226,,BMI1,,195.773
P35227,P35227,,PCGF2,,906.929
P35232,P35232,,PHB,,113245
P35237,P35237,,SERPINB6,,103248
P35240,P35240,,NF2,,2631.35
P35241,P35241,,RDX,,20815.7
P35244,P35244,,RPA3,,10066.7
P35249,P35249,,RFC4,,4507.5
P35250,P35250,,RFC2,,6202.03
P35251,P35251,,RFC1,,3132.85
P35268,P35268,,RPL22,,199869
P35269,P35269,,GTF2F1,,7567.74
P35270,P35270,,SPR,,35659.8
P35354,P35354,,PTGS2,,
P35475,P35475,,IDUA,,7488.18
P35527,P35527,,KRT9,,204955
P35555,P35555,,FBN1,,3630.61
P35557,P35557,,GCK,,1872.46
P35558,P35558,,PCK1,,710.717
P35573,P35573,,AGL,,9309.23
P35579,P35579,,MYH9,,159533
P35580,P35580,,MYH10,,65286.6
P35606,P35606,,COPB2,,75137.8
P35610,P35610,,SOAT1,,6826.17
P35611,P35611,,ADD1,,21544.4
P35612,P35612,,ADD2,,
P35613,P35613,,BSG,,14075.1
P35626,P35626,,GRK3,,850.593
P35637,P35637,,FUS,,67554.5
P35658,P35658,,NUP214,,14835.3
P35659,P35659,,DEK,,26823.2
P35670,P35670,,ATP7B,,
P35680,P35680,,HNF1B,,455.999
P35711,P35711,,SOX5,,269.675
P35749,P35749,,MYH11,,8767.04
P35754,P35754,,GLRX,,4303.89
P35790,P35790,,CHKA,,
P35813,P35813,,PPM1A,,27874.1
P35858,P35858,,IGFALS,,
P35908,P35908,,KRT2,,105873
P35914,P35914,,HMGCL,,17437.8
P35998,P35998,,PSMC2,,43157.9
P36269,P36269,,GGT5,,8083.11
P36404,P36404,,ARL2.00,,8939.9
P36405,P36405,,ARL3.00,,28088.9
P36406,P36406,,TRIM23,,
P36507,P36507,,MAP2K2,,29750.3
P36542,P36542,,ATP5F1C,,92280.3
P36543,P36543,,ATP6V1E1,,80153.8
P36551,P36551,,CPOX,,4665.07
P36578,P36578,,RPL4,,171875
P36639,P36639,,NUDT1,,
P36776,P36776,,LONP1,,30498.8
P36871,P36871,,PGM1,,90244.4
P36873,P36873,,PPP1CC,,14812.3
P36896,P36896,,ACVR1B,,
P36915,P36915,,GNL1,,18887.5
P36954,P36954,,POLR2I,,482.989
P36955,P36955,,SERPINF1,,1869.46
P36957,P36957,,DLST,,55682.8
P36959,P36959,,GMPR,,1867.34
P36969,P36969,,GPX4,,7707.36
P37059,P37059,,HSD17B2,,5810.66
P37108,P37108,,SRP14,,35395.9
P37198,P37198,,NUP62,,11003.6
P37235,P37235,,HPCAL1,,13114.5
P37268,P37268,,FDFT1,,
P37287,P37287,,PIGA,,
P37802,P37802,,TAGLN2,,160791
P37837,P37837,,TALDO1,,162354
P37840,P37840,,SNCA,,10896.7
P38117,P38117,,ETFB,,80936
P38159,P38159,,RBMX,,104445
P38398,P38398,,BRCA1,,2072.81
P38432,P38432,,COIL,,1798.06
P38435,P38435,,GGCX,,3530.45
P38571,P38571,,LIPA,,4321.73
P38606,P38606,,ATP6V1A,,135287
P38646,P38646,,HSPA9,,223399
P38919,P38919,,EIF4A3,,31662.5
P38936,P38936,,CDKN1A,,253.391
P39019,P39019,,RPS19,,100622
P39023,P39023,,RPL3,,132137
P39060,P39060,,COL18A1,,3106.87
P39210,P39210,,MPV17,,3040.39
P39656,P39656,,DDOST,,60614
P39687,P39687,,ANP32A,,95422.7
P39748,P39748,,FEN1,,14670.5
P39880,P39880,,CUX1,,999.284
P40121,P40121,,CAPG,,14447.2
P40123,P40123,,CAP2,,5520.74
P40222,P40222,,TXLNA,,15215
P40227,P40227,,CCT6A,,56638
P40261,P40261,,NNMT,,26987.2
P40313,P40313,,CTRL,,45400.2
P40424,P40424,,PBX1,,9217.22
P40425,P40425,,PBX2,,944.517
P40426,P40426,,PBX3,,2472.64
P40429,P40429,,RPL13A,,158197
P40616,P40616,,ARL1.00,,35185.2
P40692,P40692,,MLH1,,2981.95
P40763,P40763,,STAT3,,28141.5
P40818,P40818,,USP8,,7795.31
P40855,P40855,,PEX19,,481.724
P40925,P40925,,MDH1,,179317
P40926,P40926,,MDH2,,200065
P40937,P40937,,RFC5,,4143.83
P40938,P40938,,RFC3,,1821.36
P40939,P40939,,HADHA,,109550
P41091,P41091,,EIF2S3,,22511
P41162,P41162,,ETV3,,294.404
P41180,P41180,,CASR,,11609.5
P41208,P41208,,CETN2,,8130.32
P41212,P41212,,ETV6,,
P41214,P41214,,EIF2D,,2291.25
P41217,P41217,,CD200,,4998.82
P41218,P41218,,MNDA,,728.38
P41219,P41219,,PRPH,,9047.5
P41223,P41223,,BUD31,,2463.07
P41226,P41226,,UBA7,,2243.44
P41227,P41227,,NAA10,,10916.9
P41229,P41229,,KDM5C,,
P41235,P41235,,HNF4A,,2070.76
P41236,P41236,,PPP1R2,,6612.85
P41240,P41240,,CSK,,8712.16
P41247,P41247,,PNPLA4,,3109.15
P41250,P41250,,GARS1,,34899
P41252,P41252,,IARS1,,46593.6
P41567,P41567,,EIF1,,14279
P41732,P41732,,TSPAN7,,12847.6
P41743,P41743,,PRKCI,,3359.16
P42025,P42025,,ACTR1B,,84040.3
P42126,P42126,,ECI1,,76318.9
P42166,P42166,,TMPO,,5437.73
P42167,P42167,,TMPO,,50878.3
P42224,P42224,,STAT1,,16650.2
P42226,P42226,,STAT6,,2570.01
P42229,P42229,,STAT5A,,
P42262,P42262,,GRIA2,,1076.21
P42285,P42285,,MTREX,,13838
P42330,P42330,,AKR1C3,,38792.3
P42331,P42331,,ARHGAP25,,4600.89
P42336,P42336,,PIK3CA,,369.428
P42338,P42338,,PIK3CB,,921.356
P42345,P42345,,MTOR,,6378.42
P42356,P42356,,PI4KA,,4602.18
P42566,P42566,,EPS15,,9065.55
P42568,P42568,,MLLT3,,
P42574,P42574,,CASP3,,6577.65
P42575,P42575,,CASP2,,
P42658,P42658,,DPP6,,3153.93
P42677,P42677,,RPS27,,44179.8
P42684,P42684,,ABL2,,704.411
P42685,P42685,,FRK,,1961.03
P42694,P42694,,HELZ,,
P42696,P42696,,RBM34,,5364.15
P42704,P42704,,LRPPRC,,53885.7
P42765,P42765,,ACAA2,,131643
P42766,P42766,,RPL35,,158371
P42771,P42771,,CDKN2A,,3314.88
P42773,P42773,,CDKN2C,,2454.12
P42785,P42785,,PRCP,,14213.8
P42858,P42858,,HTT,,6386.68
P42892,P42892,,ECE1,,6525.18
P42898,P42898,,MTHFR,,2446.63
P43007,P43007,,SLC1A4,,3377.64
P43034,P43034,,PAFAH1B1,,38805.8
P43121,P43121,,MCAM,,3810.21
P43155,P43155,,CRAT,,22535.2
P43243,P43243,,MATR3,,65862.5
P43246,P43246,,MSH2,,6148.47
P43251,P43251,,BTD,,2125.49
P43304,P43304,,GPD2,,44101.3
P43307,P43307,,SSR1,,45725.5
P43378,P43378,,PTPN9,,2874.07
P43405,P43405,,SYK,,1735.97
P43487,P43487,,RANBP1,,48039.3
P43490,P43490,,NAMPT,,41180.5
P43686,P43686,,PSMC4,,36794.7
P43694,P43694,,GATA4,,494.16
P43897,P43897,,TSFM,,9522.89
P45381,P45381,,ASPA,,1461.14
P45877,P45877,,PPIC,,
P45880,P45880,,VDAC2,,89480.4
P45954,P45954,,ACADSB,,27615.1
P45973,P45973,,CBX5,,16769.8
P45974,P45974,,USP5,,52312.8
P45983,P45983,,MAPK8,,1711.4
P45984,P45984,,MAPK9,,10250.5
P45985,P45985,,MAP2K4,,5255.99
P46019,P46019,,PHKA2,,24373.2
P46020,P46020,,PHKA1,,1592.63
P46060,P46060,,RANGAP1,,15516.3
P46063,P46063,,RECQL,,15457.6
P46087,P46087,,NOP2,,10614.1
P46100,P46100,,ATRX,,5449.46
P46108,P46108,,CRK,,13660.6
P46109,P46109,,CRKL,,25421.3
P46199,P46199,,MTIF2,,11180.7
P46379,P46379,,BAG6,,19847.7
P46459,P46459,,NSF,,58366.4
P46527,P46527,,CDKN1B,,667.607
P46734,P46734,,MAP2K3,,4602.91
P46736,P46736,,BRCC3,,2710.84
P46776,P46776,,RPL27A,,35203.9
P46777,P46777,,RPL5,,104129
P46778,P46778,,RPL21,,54939.9
P46779,P46779,,RPL28,,140628
P46781,P46781,,RPS9,,305212
P46782,P46782,,RPS5,,61119.4
P46783,P46783,,RPS10,,193814
P46821,P46821,,MAP1B,,55811.1
P46926,P46926,,GNPDA1,,20558
P46937,P46937,,YAP1,,5647.92
P46939,P46939,,UTRN,,15242.6
P46940,P46940,,IQGAP1,,73383.5
P46952,P46952,,HAAO,,3310.5
P46976,P46976,,GYG1,,55082.8
P46977,P46977,,STT3A,,38283.5
P47224,P47224,,RABIF,,
P47712,P47712,,PLA2G4A,,774.158
P47736,P47736,,RAP1GAP,,1744
P47755,P47755,,CAPZA2,,63494.1
P47756,P47756,,CAPZB,,64527.6
P47813,P47813,,EIF1AX,,8739.52
P47895,P47895,,ALDH1A3,,3397.46
P47897,P47897,,QARS1,,27208.9
P47900,P47900,,P2RY1,,2746.72
P47914,P47914,,RPL29,,92810.4
P47929,P47929,,LGALS7,,1708.05
P47972,P47972,,NPTX2,,30060.1
P47974,P47974,,ZFP36L2,,939.595
P47985,P47985,,UQCRFS1,,80675.4
P48047,P48047,,ATP5PO,,80779
P48051,P48051,,KCNJ6,,1216.45
P48052,P48052,,CPA2,,108488
P48058,P48058,,GRIA4,,1359.71
P48059,P48059,,LIMS1,,4328.19
P48147,P48147,,PREP,,18139.8
P48163,P48163,,ME1,,17934.7
P48200,P48200,,IREB2,,602.433
P48304,P48304,,REG1B,,114875
P48378,P48378,,RFX2,,1739.85
P48380,P48380,,RFX3,,936.128
P48382,P48382,,RFX5,,586.943
P48426,P48426,,PIP4K2A,,2384.99
P48436,P48436,,SOX9,,
P48443,P48443,,RXRG,,760.074
P48444,P48444,,ARCN1,,74719.5
P48449,P48449,,LSS,,11792.1
P48454,P48454,,PPP3CC,,1204.31
P48506,P48506,,GCLC,,10731.5
P48507,P48507,,GCLM,,20615.1
P48539,P48539,,PCP4,,29401.1
P48553,P48553,,TRAPPC10,,2192.32
P48556,P48556,,PSMD8,,22438.3
P48594,P48594,,SERPINB4,,
P48634,P48634,,PRRC2A,,9738.49
P48637,P48637,,GSS,,58431.7
P48643,P48643,,CCT5,,46180.9
P48651,P48651,,PTDSS1,,4034.4
P48681,P48681,,NES,,7521.87
P48723,P48723,,HSPA13,,16050.1
P48728,P48728,,AMT,,7441.26
P48729,P48729,,CSNK1A1,,8351.15
P48730,P48730,,CSNK1D,,3932.87
P48735,P48735,,IDH2,,64155.3
P48739,P48739,,PITPNB,,5155.4
P48960,P48960,,ADGRE5,,3097.51
P49005,P49005,,POLD2,,3197.5
P49006,P49006,,MARCKSL1,,3166.22
P49023,P49023,,PXN,,10061.5
P49069,P49069,,CAMLG,,3701.08
P49116,P49116,,NR2C2,,6377.64
P49137,P49137,,MAPKAPK2,,4716.3
P49189,P49189,,ALDH9A1,,123895
P49207,P49207,,RPL34,,117736
P49247,P49247,,RPIA,,7401.56
P49257,P49257,,LMAN1,,69415.8
P49321,P49321,,NASP,,19469.5
P49326,P49326,,FMO5,,1526.74
P49327,P49327,,FASN,,21455.2
P49336,P49336,,CDK8,,
P49354,P49354,,FNTA,,4660.01
P49356,P49356,,FNTB,,5070.09
P49366,P49366,,DHPS,,2262.32
P49368,P49368,,CCT3,,79265
P49406,P49406,,MRPL19,,10582.4
P49407,P49407,,ARRB1,,7918.1
P49411,P49411,,TUFM,,195479
P49418,P49418,,AMPH,,13472.2
P49419,P49419,,ALDH7A1,,44457.5
P49427,P49427,,CDC34,,4229.31
P49441,P49441,,INPP1,,10143.3
P49447,P49447,,CYB561,,13204.6
P49448,P49448,,GLUD2,,1694.33
P49458,P49458,,SRP9,,25056.3
P49459,P49459,,UBE2A,,2659.37
P49585,P49585,,PCYT1A,,7287.5
P49588,P49588,,AARS1,,38181.5
P49589,P49589,,CARS1,,15924.8
P49590,P49590,,HARS2,,11800.1
P49591,P49591,,SARS1,,47668.7
P49593,P49593,,PPM1F,,6039.26
P49641,P49641,,MAN2A2,,3897.77
P49642,P49642,,PRIM1,,
P49674,P49674,,CSNK1E,,1175.6
P49711,P49711,,CTCF,,2540.09
P49720,P49720,,PSMB3,,37143.3
P49721,P49721,,PSMB2,,48693.4
P49736,P49736,,MCM2,,
P49748,P49748,,ACADVL,,82131.1
P49750,P49750,,YLPM1,,7841.77
P49754,P49754,,VPS41,,1951.66
P49755,P49755,,TMED10,,82035.8
P49756,P49756,,RBM25,,22261.2
P49757,P49757,,NUMB,,8372.06
P49760,P49760,,CLK2,,
P49768,P49768,,PSEN1,,3222.05
P49770,P49770,,EIF2B2,,10345.1
P49773,P49773,,HINT1,,104836
P49789,P49789,,FHIT,,3805.3
P49790,P49790,,NUP153,,10037.6
P49792,P49792,,RANBP2,,13295.3
P49802,P49802,,RGS7,,1354.51
P49810,P49810,,PSEN2,,3010.73
P49815,P49815,,TSC2,,4128.35
P49821,P49821,,NDUFV1,,30745
P49840,P49840,,GSK3A,,3954.63
P49841,P49841,,GSK3B,,8023.27
P49848,P49848,,TAF6,,1525.83
P49902,P49902,,NT5C2,,7648
P49903,P49903,,SEPHS1,,7435.52
P49914,P49914,,MTHFS,,4870.36
P49915,P49915,,GMPS,,28100.9
P49916,P49916,,LIG3,,7842.13
P49917,P49917,,LIG4,,
P49918,P49918,,CDKN1C,,4206.91
P49959,P49959,,MRE11,,13028.6
P49961,P49961,,ENTPD1,,3542.17
P50135,P50135,,HNMT,,13510.7
P50148,P50148,,GNAQ,,9589.37
P50150,P50150,,GNG4,,288.925
P50151,P50151,,GNG10,,1294.11
P50213,P50213,,IDH3A,,55712.3
P50219,P50219,,MNX1,,1126.37
P50225,P50225,,SULT1A1,,8431.95
P50281,P50281,,MMP14,,
P50336,P50336,,PPOX,,10463.8
P50395,P50395,,GDI2,,287754
P50402,P50402,,EMD,,37352.1
P50416,P50416,,CPT1A,,9250.19
P50440,P50440,,GATM,,175534
P50452,P50452,,SERPINB8,,3799.04
P50453,P50453,,SERPINB9,,5298.27
P50454,P50454,,SERPINH1,,13493
P50479,P50479,,PDLIM4,,9687.73
P50502,P50502,,ST13,,99499.2
P50542,P50542,,PEX5,,1461.2
P50552,P50552,,VASP,,14042.6
P50570,P50570,,DNM2,,14116.8
P50579,P50579,,METAP2,,9944.55
P50583,P50583,,NUDT2,,20096
P50591,P50591,,TNFSF10,,
P50613,P50613,,CDK7,,1749.07
P50747,P50747,,HLCS,,5664.11
P50750,P50750,,CDK9,,7262.7
P50851,P50851,,LRBA,,17631.7
P50895,P50895,,BCAM,,36755
P50897,P50897,,PPT1,,58370.6
P50914,P50914,,RPL14,,94752.7
P50990,P50990,,CCT8,,109028
P50991,P50991,,CCT4,,82779.6
P50995,P50995,,ANXA11,,32547.6
P51003,P51003,,PAPOLA,,10191.4
P51114,P51114,,FXR1,,40934.3
P51116,P51116,,FXR2,,11145.7
P51148,P51148,,RAB5C,,50988.1
P51149,P51149,,RAB7A,,69876.4
P51151,P51151,,RAB9A,,32800.6
